A_GREATER_B,A_LESSER_B,NO_COMP,Sentence
5.50,1.53,92.97,"Notice that OBJECT_B like Perl, but unlike OBJECT_A does not need to map the trailing newline because the OBJECT_B raw_input function removes it."
4.05,4.51,91.44,"Is Perl better than PHP, OBJECT_B OBJECT_A etc.?"
3.75,5.42,90.84,"Our analysis shows that the Olympus SZ-14 has better signal to noise ratio results than the OBJECT_A IXUS125 HS at all but ISO 80, and the OBJECT_B Coolpix S8200 at all sensitivities but ISO 1600."
3.19,0.19,96.62,"Perl, OBJECT_B and OBJECT_A fail to attract many Java and C++ programmers because, well, they force you to get stuff done."
0.70,7.83,91.47,Racer is not anywhere near as advanced as LFS.. Mostly because Racer and all of it's ports (OBJECT_B Linux and Mac OBJECT_A are being made by one person.
3.04,2.84,94.12,I wonder if they didn't compare themselves to OBJECT_A or OBJECT_B because they couldn't contrive examples that produce huge LOC differences?
7.85,6.03,86.12,The freedom from virus scans and the shear speed of an os that actually works better than OBJECT_B or OBJECT_A in my mind.
3.61,0.81,95.58,There is a body of opinion (mostly from OBJECT_A and OBJECT_B ..) which states that optically stabilized lenses are capable of better stabilization than moving sensor body based systems.
18.77,67.70,13.52,"""It's a little odd that the video really says nothing about OBJECT_B and is basically an add for """"I like the look of the HP best among the computers I can afford,"""" rather than """"OBJECT_B machines are better than OBJECT_A machines,"""" but that will be lost on the average viewer."""
2.27,3.33,94.40,"Also, because of the availability of the game, to be played on OBJECT_B , Mac OBJECT_A Android, iOS or Linux makes it a great choice for those who want a fun game to play."
2.40,3.07,94.53,"This brings the .NET programmer closer to OBJECT_B and OBJECT_A when they need it, and it gives them a better experience with COM interop and other dynamic data, such as XML."
3.12,3.04,93.84,Just because Perl and OBJECT_A do it doesn't make it good and desirable - OBJECT_B doesn't have the structure as was originally stated.
2.41,54.35,43.24,"About a third thought OBJECT_B 7 was better than Mac OBJECT_A 10.6, a third thought the two were neck-and-neck, and a third gave the nod to Snow Leopard."
9.16,53.62,37.22,It sure makes a welcome change from all the other online photography sites where everyone seems more concerned about whether their OBJECT_B is better than a OBJECT_A and so-on.
28.58,3.59,67.83,"OBJECT_A I may or may not end up using again, because OBJECT_B is fun to program in."
1.04,1.54,97.42,"Mac OBJECT_A for example, is not in the same market as OBJECT_B because Apple does not sell it to computer manufacturers, like Sony or Dell who are the main customers for Microsoft."
3.77,83.26,12.97,The VVRML plugin requires runs on any OBJECT_B system or better (better includes Mac OBJECT_A and Linux).
10.11,2.20,87.69,"I've never even held a OBJECT_A to my knowledge, so I can't and won't compare because I'm comfortable and know what OBJECT_B produces."
5.46,2.79,91.76,While it's not any worse than equivalent lenses such as the OBJECT_A or OBJECT_B 18-200mm zooms away from the center it struggles to deliver the resolution that the GH1's Live-MOS sensor would theoretically be capable of.
1.19,4.90,93.91,You can read about it here So why would a flash trigger be OBJECT_B or OBJECT_A specific you ask? That's because it reads and uses the camera's TTL codes and each manufacturer uses slightly different pins on the hotshoe to transmit those codes.
4.54,1.94,93.51,"Parrot seems to fill the gap, because one could replace OBJECT_A OBJECT_B and perl (and others) with it."
7.07,8.27,84.67,"""It's namely the """"explicit is always better than implicit"""" and the """"flat is better than nested"""" items where OBJECT_B and OBJECT_A differ wildly."""
22.13,3.89,73.98,If they chose OBJECT_A it's because in their mind it's better than PHP or OBJECT_B regardless of whether or not it's true.
48.43,3.39,48.18,In a perfect world all these games would run in OBJECT_A and BETTER than they do in OBJECT_B
7.71,3.15,89.14,It's quite complicated but it does generally work better than the OBJECT_B way of doing this as you will notice the lack of attacks compromising UNIX systems like Mac OBJECT_A
3.58,3.46,92.96,"I'll advocate Perl, others will point out PHP is most commonly used, OBJECT_A has a single obvious choice for frameworks, or OBJECT_B is a better choice for unknown reasons."
3.80,0.72,95.48,Some people rightly claim OBJECT_A or OBJECT_B is better the Java for some tasks.
7.14,3.04,89.82,"That's where menu inconsistencies occur, and you haven't really proved that menus are better organized in OBJECT_A versus OBJECT_B"
6.27,3.26,90.47,I've been agonising over a better digital SLR for some time and generally been disappointed at the look and feel of a number of OBJECT_A OBJECT_B and Lumix cameras I've tried.
2.97,4.78,92.25,"I dont want to switch to OBJECT_B because I have a lot of OBJECT_A lenses (50mm 1.8, 18-200mm and my ultimate favorite the 24-70mm 2.8)."
10.35,0.91,88.75,"Apple Mac OBJECT_A 10.10 Yosemite and Microsoft OBJECT_B 10, which is the better operating system?"
8.85,2.29,88.87,"For now, an entry level OBJECT_A or OBJECT_B DSLR is a better bet, coming in with humongous lens and accessory systems and lower price tags."
6.51,5.32,88.16,Sara switched from OBJECT_B to OBJECT_A a while back and has stuck with them because of her considerable investment in OBJECT_A lenses.
3.24,13.94,82.82,"Firstly, it would be appropriate if OBJECT_B showed something new, something of the OBJECT_A 10-22 mm class, with a similar range and similar or even better optical properties."
3.20,2.16,94.64,Linux is well-known for its superior security compared with OBJECT_B and Mac OBJECT_A and many of those advantages carry over onto Android--and the Galaxy Tab.
9.47,1.89,88.64,There's no way I will be designing OBJECT_A style (or the over-abused word 'Aqua') icons for OBJECT_B because that is NOT their main style.
5.39,7.21,87.40,I think the quality of the video clips is better with the Sony than the OBJECT_B (haven''t checked out the OBJECT_A yet).
3.67,1.86,94.48,The OBJECT_A 7D and OBJECT_B D7000 sell because of their brand name.
2.10,0.45,97.45,"""This is simply because iPhone development requires a Mac running OBJECT_A and WP7 development requires a PC running OBJECT_B Vista or OBJECT_B 7. So, essentially, I have to buy another machine and/or another operating system if I want to do both,"""" he says."""
3.49,4.06,92.45,"Although Intel acknowledged that all of its SSDs will suffer from reduced performance because of significant fragmentation, the type of write levels needed to reproduce PC Perspective's results aren't likely for everyday users, whether they're running OBJECT_B and Apple's Mac OBJECT_A"
7.37,3.18,89.46,"All said, I wouldn't forgo the low-end DSLRs from OBJECT_A or OBJECT_B because of any of these complaints."
2.87,1.32,95.81,"OBJECT_A is actually very simple to use, the only reason it'll take somebody a while to learn it is because everyone will try to do things the OBJECT_B way."
10.35,2.25,87.41,OBJECT_B and OBJECT_A will have to offer better products at better prices.
0.63,2.05,97.33,"Actually I hope Samyang itself won't be defeating one of the main purposes of a TS lens... so far they've been making very sharp lenses that are just as good as and sometimes better than OBJECT_A OBJECT_B Zeiss, etc. lenses but one thing they've been bad at is controlling distortion."
7.31,2.56,90.13,"Looking only at language features, both OBJECT_B and OBJECT_A are much better than Java."
5.60,0.35,94.05,In fact everyone who shoots OBJECT_A is switching to OBJECT_B so you better get started selling your stuff if you don't want to get trampled in the stampede.
3.91,3.18,92.90,I've never mentioned RealPlayer here although it is a well-known freeware because of the numerous negative experiences I've had with it crashing and then being difficult to remove from a OBJECT_B system (never installed it on Mac OBJECT_A .
0.36,24.69,74.95,"""Siince your question seems to about the comparison between the new mirorless systems (Olympus/Panasonic Micro Four Thirds, Sony NEX, OBJECT_B One, etc.) and your OBJECT_A EF-S gear, let me skip the usual """"bigger sensors paired with bigger, heavier lenses are better in low light, and OBJECT_A L glass rules"""" stuff, and tell you what compromises I have to accept in exchange for a smaller, lighter system."""
18.96,26.47,54.57,OBJECT_A and OBJECT_B are still the most popular brands but I usually recommend Sony to first time DSLR buyers now because I think the camera features are better - especially for video.
1.07,2.30,96.62,"i saw join develop 4K sensor on image sensor world site by Pany and others factory, on video feature i don 't think Oly will get better because they ignore to hybrid cam, in the future PRO competitor is Hybrid Cam from OBJECT_A OBJECT_B and Sony,others still focus on still photo and image file"
4.59,3.36,92.05,Most people who are serious about intermingling OBJECT_A and OBJECT_B will be much better off with one of these packages than with Boot Camp.
9.88,20.08,70.04,Lastly... it might be an Internet Explorer OBJECT_B thing because everything look just fine on my end and I'm using Mac OBJECT_A and Safari.
13.97,2.05,83.98,That's like spurning OBJECT_A solely because the min/max/close buttons are on a different side than OBJECT_B users are used to.
8.32,21.66,70.02,A real SLR like the OBJECT_B D70 or OBJECT_A Digital Rebel offers far better image quality due to the larger image sensor and far faster operation.
4.65,4.34,91.01,"Yes, try to invest the big bucks in glass and where possible go with the (usually better) OBJECT_B or OBJECT_A glass."
6.03,7.41,86.55,"Not least because as part of my move away from C++ I have determined to be at least proficient in all the popular interpreted languages such as perl (obviously), OBJECT_B and OBJECT_A"
10.56,1.25,88.19,"If the Otus outperforms the top 50s from OBJECT_B and OBJECT_A in sharpness, bokeh, reduced chromatic aberrations in the focus plane, reduced chromatic aberrations out of the focus plane, better close up performance, and only is as good as the CaOBJECT_B lenses on vignetting then because it doesn't beat them in this last aspect, but only in effect ties them, it isn't doesn't really go far enough."
3.36,9.69,86.95,It's been especially noticeable because we've gone through a several year period where OBJECT_B and OBJECT_A have been playing product one-up-man-ship with their professional products at an amazing pace.
11.06,4.80,84.13,"OBJECT_B or OBJECT_A may actually help promote better programming practices, but they aren't as accessible as PHP in terms of examples, online docs and tutorials, and hosting is not as easy."
3.60,8.73,87.67,"I have been searching for a cross platform GUI application development framework (Same code for building Linux, Android, OBJECT_B apps and OBJECT_A and I found Qt is best for that (Inspired because VLC media player is build with Qt)."
52.24,2.91,44.85,"And I have no doubt the new Panasonic will be the equal, if not superior, to the OBJECT_A or OBJECT_B offerings in regards to IQ, and obviously far superior in regards to reach."
19.47,0.62,79.91,"Alternatively, just forget all that OBJECT_B crap and get a Oly OMD: it's got all the retro that you need and none of that silly mirror-up slap both OBJECT_A and OBJECT_B insist on living with in this day and age of all digital viewfinders - a MUCH better solution!"
5.38,2.62,91.99,"In practice I always finish up with C#/Java, OBJECT_A Javascript, OBJECT_B and SQL because that's where the communities are."
5.89,3.85,90.26,Would that question be better asked in the appropriate OBJECT_A or OBJECT_B forum?
6.79,9.32,83.89,As for my gaming rig not working if I had really cared I would have bought the better video card my only real use for the computer was gaming in OBJECT_B getting OBJECT_A functional was a passing interest.
2.85,1.25,95.89,"Node is a good fit for CouchDB because Couch encourages asynchronous background processes, but people also use OBJECT_A / OBJECT_B / Java for the same purposes."
5.91,83.34,10.75,"""So what is it about the OBJECT_B D70 or D80 (both supposedly better than what I'm using now) or a pro OBJECT_A camera that makes them """"better"""" cameras?"""
4.18,2.92,92.90,"Yeah, I know I should program in Java or OBJECT_B or OBJECT_A or Kotlin or something else because it is obviously way cooler ... but I don't."
5.81,7.12,87.07,for json: i also think its better to just use OBJECT_B OBJECT_A perl and transform it.
5.92,0.67,93.41,"Apple controls iPhone app development -- largely because it can , don't get me wrong -- but Mac OBJECT_A is as open to third party software development as OBJECT_B Linux, or any other form of Unix."
6.46,2.40,91.14,OBJECT_B OBJECT_A and even PHP handle this sort of thing much better than Bash.
2.66,0.86,96.47,"I don't think OBJECT_A OBJECT_B developers are ignorant about the power of Intellij or Eclipse, because most of them(at least those I know) know java and used or still use the tools."
47.24,1.76,51.00,To say Sony has a small lens system is to say OBJECT_A has better video than OBJECT_B ..
3.36,0.68,95.96,"""The cropped lenses from OBJECT_B and OBJECT_A work really well on the APS sensor cameras because the sensor is only seeing the """"sweet spot"""" center of the lens, plus the fisheye distortion is minimized near the center too so we have a very wide, low light lens in this case."""
9.15,4.07,86.78,re:  OBJECT_A stud (7:26am EST Thu Jan 06 2005) don't you mean if OBJECT_B lose 2% marketshare to Apple... because If apple gains 2% of its marketshare... that's like 3 people.
20.78,15.79,63.43,"Yes, the D70 viewfinder is a disappointment to OBJECT_B users that are used to OBJECT_B s film cameras, but that doesn't make the OBJECT_A viewfinders any better."
2.58,11.50,85.92,"Too bad the 10mm Switar does not cover, as it is superior, likely, to any lens OBJECT_A or OBJECT_B makes in acuity and image quality."
9.59,13.34,77.07,"2. Um, Google App Engine currently only runs OBJECT_B not OBJECT_A but you were close, really, because they're almost the same language... NOT!"
6.89,11.46,81.65,"To make sense it has to not just be better but significantly better - these MF cameras are far less user friendly (and indeed functional) than the state of the art from OBJECT_A OBJECT_B m(live view, high ISO, wide apertures, user interface)."
6.84,2.34,90.82,"Great products, ideas and methods have lost mind share to lesser things (not that OBJECT_A is inferior to OBJECT_B or vice versa) because they lack fluff, ribbons and glitter"
2.43,10.34,87.23,"The default I posted is 'film standard' ... I've processed literally thousands of images with this converter and rarely found nature or wildlife shots that looked better with the flatter settings, so that's probably why OBJECT_B and OBJECT_A (and Capture One) bias the settings that way."
8.52,2.75,88.73,"The BIOS options are enabled by default on Macs because of the prevalence of OBJECT_B OBJECT_A dual-boot configurations, which more-or-less require BIOS support on Macs."
7.22,1.16,91.62,for tips on how to write to OBJECT_B files from OBJECT_A and how to reprogram the Mac keyboard to work better in OBJECT_B
3.62,9.02,87.36,"""in terms of the price, i don't believe it will be very high by the time the new FF fuji comes out - only because OBJECT_B OBJECT_A are already offering """"consumer"""" FF which are around $2100."""
2.34,3.54,94.12,"It was likely chosen not only because of Unity's sophisticated 3D engine, but because a Unity web player plugin is available for all major browsers on OBJECT_B and Mac OBJECT_A meaning the game doesn't have to go through a lengthy install process."
8.71,7.71,83.59,"For me, ofcourse its not enough that's why I also know ASP & JSP & am learning OBJECT_A then will look at OBJECT_B & maybe perhaps .NET as well!! 4) Perhaps OBJECT_A can answer this better as to what she needs!! 5) Yes, OBJECT_A can run on apache but the recommended server is Lighttpd."
5.14,6.38,88.47,"""OBJECT_B uses %r because their equivalent of """"inspect"""" is """"repr"""" -- for OBJECT_A a different letter might be better."""
6.81,5.83,87.36,Operating Systems like Linux discriminate against women because of a built in difficulty compared with OBJECT_B and Apple's OBJECT_A
40.96,1.61,57.43,"So you don't like an application, Launchpad, that is bundled with OBJECT_A that's like saying OBJECT_B 7 sucks because OBJECT_B Media Player is pointless."
21.95,8.33,69.72,"Despite the better image quality of the OBJECT_B system, I decided to go with the OBJECT_A"
5.98,4.46,89.56,"All of it basically boils down to much better software (OBJECT_B 8, Mac OBJECT_A Mountain Loin) and hardware being released in the coming months."
5.36,74.67,19.97,"If you're not sold on the D3300, you could look to other options like the OBJECT_B D5300 for the next step up, the Pentax K-50 for weather sealing and better controls, or the OBJECT_A SL1 if you just don't want to buy into a OBJECT_B system."
18.31,19.82,61.87,"I can't speak for OBJECT_B because I've never handled one myself, but many photographers prefer the dynamic range from OBJECT_B than OBJECT_A"
2.33,4.48,93.18,"""While Japan 50 years ago was noted as only making """"junky"""" products, we can all attest to the high quality automobiles, the fine OBJECT_B and OBJECT_A digital cameras, the excellent Sony and Nippondenso games, the superior machine tools, their extraordinary electronic products, and many other high quality items manufactured in Japan."""
22.01,1.67,76.32,"Those 50+ OBJECT_B based video games won't go to waste because the new iMacs have Intel-based processors, allowing the intrepid user to run both Apple OBJECT_A and OBJECT_B XP, which we already have on the Dell."
5.16,8.39,86.45,Erlang syntax is not OBJECT_A s or OBJECT_B s because Erlang is not OBJECT_B or OBJECT_A
6.30,6.81,86.89,However what you have written concerning highlight recovery/shadow lifting in post pretty much reminds me of my experience with the Pentax 645D and it would require further testing to demonstrate that this - at least at base ISO - is superior over a OBJECT_B D8X0 or OBJECT_A 5DS/R.
3.08,6.35,90.56,"And on a GNU system, your chance of having the GNU objc stuff and GCC installed actually seems a bit better than writing it in OBJECT_A or maybe even OBJECT_B"
3.93,0.77,95.31,(Whether that makes OBJECT_A and OBJECT_B better than Java is subjective.)
4.07,2.41,93.52,I'm focusing in Linux distros rather than Mac OBJECT_A or other BSD/Unix distros because the Linux world has the greatest number of POS alternatives to OBJECT_B
4.92,1.44,93.64,for years OBJECT_A was raising MP and OBJECT_B was saying less MP are better.
18.74,53.71,27.55,"I think it is interesting that in several usability aspects, Linux distributions are already far ahead OBJECT_B comparable or even better than OBJECT_A Mainly hardware and software installation, system transparency."
3.47,4.55,91.98,"Thats almost never the case, pro line doesn't mean better iq a pro camera have different feature, take a look at OBJECT_A or OBJECT_B you will see that the best performer (iq) cameras are the d800e and 5dm3, and those are NOT pro line for those manufacturer,"
6.07,3.87,90.06,Either complacency got the better of OBJECT_A engineers or perhaps their OBJECT_B counterparts are just more hungry to regain the top spot.
2.11,2.75,95.14,You don't write in OBJECT_B OBJECT_A Tcl/etc because you're not good enough to write in C or C++.
2.30,0.69,97.01,I find that OBJECT_B OBJECT_A Javascript and SQL are much more productive than compiled languages such as Java because those languages have a very quick feedback loop.
8.31,11.10,80.59,That is not OBJECT_B way in most of the cases The statement OBJECT_A is a Camera made for Enginners is true because sometime they have leading technoilogies but OBJECT_B is a camera made for Photographer because OBJECT_B have a solution for the peoples who love take pictures.
5.78,2.15,92.08,"id say the main reason most orgs arent doing OBJECT_A (some are), is because the OBJECT_B guys know OBJECT_B"
6.29,5.93,87.78,"It's also OS dependant, because I could control de audio of my DAC on both OBJECT_B and Ubuntu, but not on OBJECT_A"
6.79,9.42,83.80,I switched to OBJECT_A because now OBJECT_B is getting into mega pixel race OBJECT_A was in.
17.57,50.25,32.19,"""Acting like this is some kind of """"OBJECT_B is better than OBJECT_A "" thing is silly."""
32.57,0.33,67.10,For OBJECT_A and OBJECT_B respectives you're probably looking at the better part of $2000+ for 24-70 and 70-200 f2.8
5.73,3.59,90.68,"And then, to fully emulate the Mac netbook experience - because I'm not interested in a tiny laptop if it's running OBJECT_B - I installed Mac OBJECT_A on the thing."
16.00,66.74,17.26,I know OBJECT_B better than OBJECT_A but I still work much faster with OBJECT_A
11.14,1.73,87.12,"Well that's for OBJECT_B because the way it writes files it breaks them all up, OBJECT_A doesn't do that on small files, so it eliminates the need for MOST users to require a regular defrag."
