id,assigned_class,assigned_class:confidence,label,new_sentence,sentence,_golden,_unit_state,_trusted_judgments,_last_judgment_at
1445637774,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, too) undoubtedly influenced people's votes when it","OBJECT_A, and OBJECT_B, too) undoubtedly influenced people's votes when it",false,finalized,3,11/10/2017 13:41:19
1445637775,NO_COMP,1,NO_COMP,"I'd go with <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.",I'd go with OBJECT_A or OBJECT_B.,false,finalized,4,11/10/2017 13:43:53
1445637776,NO_COMP,1,NO_COMP,"This is potentially useful for <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, PHP, JS and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.","This is potentially useful for OBJECT_A, PHP, JS and OBJECT_B.",false,finalized,3,11/10/2017 13:45:29
1445637777,NO_COMP,0.6562,NO_COMP,"And your other server languages like <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, PHP, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, etc.","And your other server languages like OBJECT_A, PHP, OBJECT_B, etc.",false,finalized,3,11/10/2017 13:44:29
1445637778,NO_COMP,0.6916,NO_COMP,"Java learned a lot from <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> and even C#.","Java learned a lot from OBJECT_A, OBJECT_B and even C#.",false,finalized,3,11/10/2017 13:42:11
1445637779,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>/Groovy/Perl is:",OBJECT_A/OBJECT_B/Groovy/Perl is:,false,finalized,3,11/10/2017 13:44:25
1445637780,NO_COMP,1,NO_COMP,"Java, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, Perl, also all work.","Java, OBJECT_A, OBJECT_B, Perl, also all work.",false,finalized,3,11/10/2017 13:42:48
1445637781,NO_COMP,1,NO_COMP,"highlighting mzscheme, perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> by default.","highlighting mzscheme, perl, OBJECT_A, and OBJECT_B by default.",false,finalized,3,11/10/2017 13:43:47
1445637782,NO_COMP,1,NO_COMP,"Highly skilled in Perl, PHP, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> programming languages.","Highly skilled in Perl, PHP, OBJECT_A, OBJECT_B programming languages.",false,finalized,4,11/10/2017 13:46:52
1445637783,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, java, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, php, javascript","OBJECT_A, java, OBJECT_B, php, javascript",false,finalized,3,11/10/2017 13:44:29
1445637784,NO_COMP,1,NO_COMP,"So it comes down to <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>.",So it comes down to OBJECT_A and OBJECT_B.,false,finalized,3,11/10/2017 13:44:52
1445637785,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> Compiled languages - e.g.","OBJECT_A, OBJECT_B Compiled languages - e.g.",false,finalized,3,11/10/2017 13:42:54
1445637786,NO_COMP,1,NO_COMP,"However, there is <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> Rails to consider.","However, there is OBJECT_A and OBJECT_B Rails to consider.",false,finalized,4,11/10/2017 13:44:13
1445637787,NO_COMP,1,NO_COMP,"Perl, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, and Unix shell scripts are also used.","Perl, OBJECT_A, OBJECT_B, and Unix shell scripts are also used.",false,finalized,3,11/10/2017 13:38:40
1445637788,NO_COMP,1,NO_COMP,"Possibly <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.",Possibly OBJECT_A or OBJECT_B.,false,finalized,3,11/10/2017 13:46:53
1445637789,NO_COMP,1,NO_COMP,"Groovy, Perl, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, Bash).","Groovy, Perl, OBJECT_A, OBJECT_B, Bash).",false,finalized,3,11/10/2017 13:44:52
1445637790,NO_COMP,0.7334,NO_COMP,"Speed: similar to Perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.","Speed: similar to Perl, OBJECT_A, OBJECT_B.",false,finalized,4,11/10/2017 13:46:52
1445637791,NO_COMP,1,NO_COMP,"Drop it immediately and start learning PHP, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, or <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.","Drop it immediately and start learning PHP, OBJECT_A, or OBJECT_B.",false,finalized,4,11/10/2017 13:43:53
1445637792,NO_COMP,1,NO_COMP,"language such as JavaScript, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, Groovy, etc.).","language such as JavaScript, OBJECT_A, OBJECT_B, Groovy, etc.).",false,finalized,3,11/10/2017 13:43:47
1445637793,NO_COMP,1,NO_COMP,"PHP, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, or <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>?","PHP, OBJECT_A, or OBJECT_B?",false,finalized,3,11/10/2017 13:42:14
1445637794,BETTER,1,BETTER,"I prefer <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> over <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> on windows.",I prefer OBJECT_A over OBJECT_B on windows.,false,finalized,3,11/10/2017 13:40:16
1445637795,NO_COMP,1,NO_COMP,"Perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, PHP, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>), forking isn't a problem.","Perl, OBJECT_A, PHP, OBJECT_B), forking isn't a problem.",false,finalized,3,11/10/2017 13:36:57
1445637796,NO_COMP,1,NO_COMP,"Perl, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> and C# are good ones.","Perl, OBJECT_A, OBJECT_B and C# are good ones.",false,finalized,3,11/10/2017 13:43:01
1445637797,NO_COMP,1,NO_COMP,"I have a extrange problem compiling <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> extension.",I have a extrange problem compiling OBJECT_A/OBJECT_B extension.,false,finalized,3,11/10/2017 13:49:08
1445637798,NO_COMP,1,NO_COMP,"Scripting- <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, Perl, PowerShell.","Scripting- OBJECT_A, OBJECT_B, Perl, PowerShell.",false,finalized,3,11/10/2017 13:46:53
1445637799,WORSE,0.6676,UNCLEAR,"While <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> is slightly faster, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> utilises memory better.","While OBJECT_A is slightly faster, OBJECT_B utilises memory better.",false,finalized,3,11/10/2017 14:08:40
1445637800,NO_COMP,0.6595,NO_COMP,"A <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> script might work better for this....",A OBJECT_A/OBJECT_B script might work better for this....,false,finalized,3,11/10/2017 13:49:56
1445637801,NO_COMP,0.6669,NO_COMP,"That's because a lot of those applications may not even be written in D or have anything to do with D, like the mass of stuff written in dynamic languages like perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, etc.","That's because a lot of those applications may not even be written in D or have anything to do with D, like the mass of stuff written in dynamic languages like perl, OBJECT_A, OBJECT_B, etc.",false,finalized,3,11/10/2017 15:05:43
1445637802,NO_COMP,0.6441,NO_COMP,"The script uses SQLite3 as a backend, because bash is not good with arrays, and because I'm not good with Perl/<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.","The script uses SQLite3 as a backend, because bash is not good with arrays, and because I'm not good with Perl/OBJECT_A/OBJECT_B.",false,finalized,3,11/10/2017 13:43:47
1445637803,UNCLEAR,0.6427,NO_COMP,"Immutability fits into this complex because in <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>/Perl/<span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>/other languages I often solve this with some form of monkeypatching, which is a form of mutability.","Immutability fits into this complex because in OBJECT_A/Perl/OBJECT_B/other languages I often solve this with some form of monkeypatching, which is a form of mutability.",false,finalized,3,11/10/2017 13:43:27
1445637804,NO_COMP,0.685,NO_COMP,"There are much better alternatives (<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>).","There are much better alternatives (OBJECT_A, OBJECT_B).",false,finalized,3,11/10/2017 13:33:27
1445637805,UNCLEAR,0.697,NO_COMP,"Your C# and VB devs can suddenly easily write web apps and your <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> devs can too - with the added bonus of much better performance.",Your C# and VB devs can suddenly easily write web apps and your OBJECT_A and OBJECT_B devs can too - with the added bonus of much better performance.,false,finalized,3,11/10/2017 14:02:32
1445637806,NO_COMP,0.6879,NO_COMP,"Maybe we should stop using languages like <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> and Perl because they're ""slow"".","Maybe we should stop using languages like OBJECT_A, OBJECT_B and Perl because they're ""slow"".",false,finalized,3,11/10/2017 13:44:48
1445637807,NO_COMP,1,NO_COMP,"He raises the point that runtime libraries for <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> / <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> etc have a unique set of issues because they tend to have their own packaging systems.",He raises the point that runtime libraries for OBJECT_A / OBJECT_B etc have a unique set of issues because they tend to have their own packaging systems.,false,finalized,3,11/10/2017 13:49:08
1445637808,NO_COMP,0.6275,NO_COMP,"But maybe that's just because I'm not used to seeing <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, just as you're not used to seeing <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> code.","But maybe that's just because I'm not used to seeing OBJECT_A, just as you're not used to seeing OBJECT_B code.",false,finalized,3,11/10/2017 13:41:56
1445637809,BETTER,1,BETTER,"I guess that's fair because the implementation might be done better in <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> than it was in <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>.",I guess that's fair because the implementation might be done better in OBJECT_A than it was in OBJECT_B.,false,finalized,3,11/10/2017 13:46:14
1445637810,WORSE,0.662,BETTER,"I'm not totally convinced the debugging tools for Perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> or PHP are substantially better than <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, even if they are slightly better.","I'm not totally convinced the debugging tools for Perl, OBJECT_A or PHP are substantially better than OBJECT_B, even if they are slightly better.",false,finalized,3,11/10/2017 13:41:19
1445637811,NO_COMP,0.7445,NO_COMP,"Agile development is the most popular model at the moment because of architectures like <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> on Rails and Django (for <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>).",Agile development is the most popular model at the moment because of architectures like OBJECT_A on Rails and Django (for OBJECT_B).,false,finalized,4,11/10/2017 13:44:19
1445637812,WORSE,1,WORSE,"In addition the comparison on multi-core machines is also flawed because <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> code uses only one CPU whereas <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> uses all four due to use of multiprocessing library.",In addition the comparison on multi-core machines is also flawed because OBJECT_A code uses only one CPU whereas OBJECT_B uses all four due to use of multiprocessing library.,false,finalized,3,11/10/2017 13:46:34
1445637813,WORSE,1,WORSE,"<span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> is even worse than <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>.",OBJECT_A is even worse than OBJECT_B.,false,finalized,3,11/10/2017 13:38:39
1445637814,NO_COMP,1,NO_COMP,"Perl, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> were successful because their creators were good coders with clear goals, who shipped useful programs.","Perl, OBJECT_A, and OBJECT_B were successful because their creators were good coders with clear goals, who shipped useful programs.",false,finalized,3,11/10/2017 13:44:52
1445637815,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> were much more recently the ""hot new thing"" and have gotten a lot more attention in the last decade or so because of that.","OBJECT_A and OBJECT_B were much more recently the ""hot new thing"" and have gotten a lot more attention in the last decade or so because of that.",false,finalized,3,11/10/2017 13:41:19
1445637816,WORSE,1,WORSE,"I've tried <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, and can see why people like it, but <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> suits my style better.","I've tried OBJECT_A, and can see why people like it, but OBJECT_B suits my style better.",false,finalized,3,11/10/2017 13:49:08
1445637817,NO_COMP,1,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> are languages competing for a similar bracket, so they will always appear to be ""converging,"" because smart people are finding the key features.","OBJECT_A and OBJECT_B are languages competing for a similar bracket, so they will always appear to be ""converging,"" because smart people are finding the key features.",false,finalized,3,11/10/2017 13:49:56
1445637818,NO_COMP,0.6667,NO_COMP,"I started with OO languages (<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> & <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>) because people recommend them, and they seem to be relatively easy to get started with.","I started with OO languages (OBJECT_A & OBJECT_B) because people recommend them, and they seem to be relatively easy to get started with.",false,finalized,3,11/10/2017 13:41:38
1445637819,WORSE,0.5045,NO_COMP,"Unfortunately, when it comes to potential projects <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> suffers because it's similarity to <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>.","Unfortunately, when it comes to potential projects OBJECT_A suffers because it's similarity to OBJECT_B.",false,finalized,4,11/10/2017 13:44:17
1445637820,NO_COMP,1,NO_COMP,"It is worth noting that because the APIs use the standard HTTP protocol you can easily work with them from any programming language including C#, Java, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, Perl, PHP and others.","It is worth noting that because the APIs use the standard HTTP protocol you can easily work with them from any programming language including C#, Java, OBJECT_A, OBJECT_B, Perl, PHP and others.",false,finalized,3,11/10/2017 13:42:11
1445637821,NO_COMP,1,NO_COMP,"With dynamically typed languages, like PHP, <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, your development will be much faster, but you will have to test your code much better.","With dynamically typed languages, like PHP, OBJECT_A, OBJECT_B, your development will be much faster, but you will have to test your code much better.",false,finalized,3,11/10/2017 13:47:59
1445637822,BETTER,1,BETTER,"The only reason <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> is used over <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, is because of libraries...","The only reason OBJECT_A is used over OBJECT_B, is because of libraries...",false,finalized,3,11/10/2017 13:44:49
1445637823,NO_COMP,1,NO_COMP,"And now that MS has support for <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, they are as evil as before but also stupid, because that means they don't have any direction to give to the community.","And now that MS has support for OBJECT_A and OBJECT_B, they are as evil as before but also stupid, because that means they don't have any direction to give to the community.",false,finalized,3,11/10/2017 13:44:17
1445637824,BETTER,0.6842,BETTER,"a sequence reserve can be simply: s.reverse etc. if you use databases: <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> database binding API is arguably better than <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>.",a sequence reserve can be simply: s.reverse etc. if you use databases: OBJECT_A database binding API is arguably better than OBJECT_B.,false,finalized,3,11/10/2017 13:46:03
1445637825,UNCLEAR,0.6605,NO_COMP,"It comes with an updated XML stack and lets dynamic languages like <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, Groovy, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> and JavaScript get better performance running on JVMs.","It comes with an updated XML stack and lets dynamic languages like OBJECT_A, Groovy, OBJECT_B and JavaScript get better performance running on JVMs.",false,finalized,3,11/10/2017 13:44:33
1445637826,NO_COMP,0.6234,NO_COMP,"We will just be a little more conscious,"" because I don't see <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> as being inevitably slower.","We will just be a little more conscious,"" because I don't see OBJECT_A or OBJECT_B as being inevitably slower.",false,finalized,3,11/10/2017 13:44:17
1445637827,UNCLEAR,0.6522,NO_COMP,"The problem is <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> are not seen as enterprise ready or fit for anything better than simple applications.",The problem is OBJECT_A and OBJECT_B are not seen as enterprise ready or fit for anything better than simple applications.,false,finalized,3,11/10/2017 13:46:53
1445637828,UNCLEAR,0.5024,NO_COMP,"<span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> perform significantly better.",OBJECT_A and OBJECT_B perform significantly better.,false,finalized,4,11/10/2017 13:42:14
1445637829,NO_COMP,1,NO_COMP,"Yes, I keep on bitchin' on collectors because I should probably spend my free time learning <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span> or something.","Yes, I keep on bitchin' on collectors because I should probably spend my free time learning OBJECT_A or OBJECT_B or something.",false,finalized,3,11/10/2017 13:42:08
1445637830,NO_COMP,1,NO_COMP,"The even better news is that it is actually possible to use a variety of tools: <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, shell scripts and R to perform distributed fault tolerant processing of your data on a Hadoop cluster....","The even better news is that it is actually possible to use a variety of tools: OBJECT_A, OBJECT_B, shell scripts and R to perform distributed fault tolerant processing of your data on a Hadoop cluster....",false,finalized,3,11/10/2017 13:46:14
1445637831,NO_COMP,1,NO_COMP,"That hurts because for a company to want a telecommuter bad enough, they'd better bring some serious talent to the table which usually consists of front-end, backend, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> experience.","That hurts because for a company to want a telecommuter bad enough, they'd better bring some serious talent to the table which usually consists of front-end, backend, OBJECT_A and OBJECT_B experience.",false,finalized,3,11/10/2017 14:08:40
1445637832,BETTER,0.655,NO_COMP,"So in <span style=""color: #9A14B2; font-weight: bold"">python:[OBJECT_A]</span>, a good programmer will want to take a different route to solving the problem than he would in <span style=""color: #6CB219; font-weight: bold"">ruby:[OBJECT_B]</span>, just because it actually is the better way to do it.","So in OBJECT_A, a good programmer will want to take a different route to solving the problem than he would in OBJECT_B, just because it actually is the better way to do it.",false,finalized,3,11/10/2017 15:05:43
1445637833,NO_COMP,1,NO_COMP,"He also thinks that ""SOAP never caught on because many popular languages were left out such as <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>.""","He also thinks that ""SOAP never caught on because many popular languages were left out such as OBJECT_A and OBJECT_B.""",false,finalized,3,11/10/2017 13:46:34
1445637834,BETTER,1,BETTER,"I mention all that because I think you've missed an important way in which <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> blocks are more powerful than anything in <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>: a block executes fully within the defining context.",I mention all that because I think you've missed an important way in which OBJECT_A blocks are more powerful than anything in OBJECT_B: a block executes fully within the defining context.,false,finalized,3,11/10/2017 13:43:01
1445637835,NO_COMP,0.6519,NO_COMP,"For better or worse, <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>, JavaScript and so on have changed how people see programming.","For better or worse, OBJECT_A, OBJECT_B, JavaScript and so on have changed how people see programming.",false,finalized,3,11/10/2017 14:02:32
1445637836,BETTER,1,NO_COMP,"People fight over principles like ""<span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span>"" or ""you shouldn't write unit test,"" all of which are absolutely absurd.","People fight over principles like ""OBJECT_A is better than OBJECT_B"" or ""you shouldn't write unit test,"" all of which are absolutely absurd.",false,finalized,3,11/10/2017 13:41:56
1445637837,NO_COMP,0.6517,NO_COMP,"Node is a good fit for CouchDB because Couch encourages asynchronous background processes, but people also use <span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span> / <span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> / Java for the same purposes.","Node is a good fit for CouchDB because Couch encourages asynchronous background processes, but people also use OBJECT_A / OBJECT_B / Java for the same purposes.",false,finalized,3,11/10/2017 13:34:18
1445637838,UNCLEAR,1,UNCLEAR,"It is a lot easier to do text parsing in Perl/<span style=""color: #9A14B2; font-weight: bold"">ruby:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">python:[OBJECT_B]</span> than it is in Java or C# (partially because it is a lot easier to use regular expressions).",It is a lot easier to do text parsing in Perl/OBJECT_A/OBJECT_B than it is in Java or C# (partially because it is a lot easier to use regular expressions).,false,finalized,3,11/10/2017 13:44:17
